transaction_type,purchaseId,employeeId,department,location,purchaseDate,approvalDate,invoiceNumber,invoiceDate,paymentDate,vendorName,vendorRegistrationDate,contractDate,vendorBankAccount,vendorAddress,vendorContact,itemId,itemDescription,category,unitPrice,quantity,amountTotal,status,contractId,is_fraud,purchase_month,purchase_dayofweek,purchase_quarter,is_weekend,days_to_approval,days_purchase_to_invoice,days_invoice_to_payment,vendor_age_at_contract,log_amount,log_unitprice,amount_zscore,amount_vs_category_median,amount_consistency_ratio,employee_daily_tx,vendor_tx_count,invoice_frequency,amount_vs_employee_avg,transaction_type_enc,department_enc,location_enc,category_enc,itemDescription_enc,status_enc,employee_tx_frequency
procurement,PO6181947,EMP0037,Legal,Yogyakarta,2023-04-15,2023-04-16,INV9291562,2023-04-18,2023-04-27,PD Saputra Halim,2021-03-15,2021-06-30,ECIY79552574208639,"Gg. Sukabumi No. 9, Payakumbuh, MA 06349",(0355) 235-1923,ITEM631570,Kendaraan Operasional,Transportasi,307000.0,1,307000.0,Approved,CTR980831,0,4,5,2,1,1,3,9,107,12.634606283893019,12.634606283893019,-0.2125112914502233,1.0771892028449024,0.99999674268162,1,51,1,0.04799908282948865,1,3,7,7,6,0,44
expense,PO4396393,EMP0105,Operations,Medan,2024-09-10,2024-09-15,INV7184377,2024-09-12,2024-09-27,PD Saputra Halim,2021-03-15,2021-07-19,MMER78835189101842,"Jalan KH Amin Jasuta No. 59, Jayapura, Sumatera Barat 47060",(058) 728 9402,ITEM432790,AC,Perlengkapan Kantor,568000.0,1,568000.0,Approved,CTR217800,0,9,1,3,0,5,2,15,126,13.249878458265119,13.249878458265119,-0.19190760129702197,1.2085080670041128,0.9999982394397193,1,51,1,0.19913388320727632,0,5,4,6,0,0,37
procurement,PO679354,EMP0071,R&D,Bandung,2023-07-15,2023-07-24,INV8088042,2023-07-18,2023-07-22,PD Handayani,2021-01-31,2021-09-16,BTUG63164822276946,"Gg. HOS. Cokroaminoto No. 31, Kediri, SU 04070",0843505527,ITEM173974,Server,Lain-lain,241000.0,3,724000.0,Approved,CTR503434,0,7,5,3,1,9,3,4,228,13.49254805258237,12.392556361841777,-0.1795927520100511,0.8712384220957616,1.0013817408274677,1,47,1,0.7200247433917343,1,7,1,2,13,0,25
expense,PO68958309,EMP0040,IT,Medan,2022-12-15,2022-12-17,INV9232675,2022-12-16,2022-12-25,PD Damanik Mulyani,2019-08-16,2020-04-20,NAPB98858236447833,"Gg. Merdeka No. 646, Bau-Bau, Jawa Barat 21964",+62 (008) 473-9204,ITEM102222,Server,Komunikasi,246000.0,2,493000.0,Approved,CTR995820,0,12,3,4,0,2,1,9,248,13.108266481420335,12.413090879946887,-0.197828201915758,0.9012780598207316,1.0020304836778786,1,42,1,0.26832351143495387,0,2,4,1,13,0,39
expense,PO31363461,EMP0063,HR,Semarang,2023-12-08,2023-12-15,INV7578236,2023-12-09,2023-12-18,PD Pudjiastuti,2020-11-17,2021-12-13,CBEL72070665046846,"Gang H.J Maemunah No. 1, Pontianak, BE 47727",(0656) 844-0444,ITEM918684,Software License,Lain-lain,691000.0,2,1382000.0,Approved,CTR942574,0,12,4,4,0,7,1,9,391,14.139043006898492,13.445896549926763,-0.12764934924834048,1.6630545570943958,0.9999992764115221,1,47,1,0.7351059919648979,0,1,5,2,14,0,39
procurement,PO44575738,EMP0008,R&D,Bandung,2023-03-15,2023-03-17,INV3256880,2023-03-17,2023-04-03,PT Sihotang,2020-09-21,2021-02-01,VELZ35364473053945,"Jl. Sukabumi No. 171, Purwokerto, Aceh 18253",089 008 0140,ITEM956056,Alat Tulis,Komunikasi,282000.0,2,564000.0,Approved,CTR26626,0,3,2,1,0,2,2,17,133,13.242811303528269,12.549665896013254,-0.19222336666335457,1.031076725636699,0.9999982269534983,1,50,1,0.2698406804775357,1,7,1,1,1,0,33
procurement,PO95795310,EMP0116,Procurement,Bali,2024-07-06,2024-07-15,INV8582098,2024-07-09,2024-07-13,Perum Mayasari,2021-02-17,2021-05-11,FWWI52355462277317,"Gg. Raya Ujungberung No. 5, Palopo, Sulawesi Tengah 72699",+62-099-908-2308,ITEM236274,Kendaraan Operasional,Akomodasi,1105000.0,1,1105000.0,Approved,CTR152726,0,7,5,3,1,9,3,4,83,13.915356797910956,13.915356797910956,-0.14951610086687214,0.8854159571987522,0.9999990950234434,1,56,1,0.5655454757005159,1,6,0,0,6,0,37
procurement,PO20024096,EMP0014,IT,Yogyakarta,2024-03-09,2024-03-13,INV3662413,2024-03-11,2024-03-14,Perum Putra Hasanah,2021-01-29,2021-11-30,KKUY19681913846399,"Jalan Sukabumi No. 7, Bukittinggi, BT 39235",+62 (0785) 658 4068,ITEM853435,Printer,Akomodasi,524000.0,1,524000.0,Approved,CTR86376,0,3,5,1,1,4,2,3,305,13.169248871698304,13.169248871698304,-0.19538102032668045,0.4198714584363314,0.9999980916066954,1,58,1,0.31279036372696845,1,2,7,0,10,0,33
expense,PO2750387,EMP0040,IT,Makassar,2023-03-26,2023-04-03,INV1258077,2023-03-29,2023-04-06,PD Saputra Halim,2021-03-15,2022-02-14,HXNJ05520112038217,"Gg. Cikapayang No. 215, Tual, Maluku Utara 04174",+62-99-213-4763,ITEM285035,Alat Tulis,Lain-lain,691000.0,1,691000.0,Approved,CTR955176,0,3,6,1,1,8,3,8,336,13.445896549926763,13.445896549926763,-0.18219781628229492,0.8315272785471979,0.9999985528240914,1,51,1,0.37608832941491505,0,2,3,2,1,0,39
expense,PO50182760,EMP0045,Operations,Bali,2023-08-07,2023-08-09,INV173112,2023-08-08,2023-08-26,UD Narpati (Persero) Tbk,2021-04-12,2022-04-27,XXID04738115942146,"Gg. Pasir Koja No. 01, Yogyakarta, Sulawesi Barat 72576",(0044) 120-1413,ITEM684258,Software License,Lain-lain,248000.0,3,743000.0,Approved,CTR380505,0,8,0,3,0,2,1,18,380,13.51845266959401,12.421188057397055,-0.1780928665199713,0.8941024138358438,0.9986545717008445,1,44,1,0.6926164107608167,0,5,0,2,14,0,35
